Abelson murine leukemia virus
Abrus precatorius
Abutilon theophrasti
Acanthamoeba castellanii
Accipiter gentilis
Acetobacter aceti
Acetobacter polyoxogenes
Acetobacter xylinus
Acetobacterium woodii
Achromobacter cycloclastes
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidianus ambivalens
Acinetobacter calcoaceticus
Acinetobacter lwoffii
Acinetobacter sp.
Actinia equina
Actinidia deliciosa
Actinobacillus actinomycetemcomitans
Actinomadura sp.
Actinomyces naeslundii
Actinomyces viscosus
Aedes aegypti
Aegypius monachus
Aequipecten irradians
Aeromonas caviae
Aeromonas hydrophila
Aeromonas salmonicida
Aeropyrum pernix
Aethia pygmaea
African swine fever virus
African swine fever virus ba71v
Agaricus bisporus
Agkistrodon halys brevicaudus
Agrobacterium tumefaciens
Ailuropoda melanoleuca
Ailurus fulgens
Alcaligenes denitrificans
Alcaligenes faecalis
Alcaligenes sp.
Alces alces
Aldabrachelys elephantina
Aleuria aurantia
Alfalfa mosaic virus
Alicyclobacillus acidocaldarius
Alkalilimnicola ehrlichii mlhe-1
Alligator mississippiensis
Allium sativum
Allochromatium vinosum dsm 180
Alteromonas carrageenovora
Alteromonas sp.
Amapari virus
Amaranthus caudatus
Amaranthus retroflexus
Amblyomma variegatum
Ambrosia psilostachya
Ambystoma mexicanum
Ammonifex degensii kc4
Ammotragus lervia
Anabaena flos-aquae
Anabaena sp.
Anabaena variabilis
Anadara trapezia
Ananas comosus
Anaplasma marginale
Anas platyrhynchos
Anas poecilorhyncha
Anguilla japonica
Anopheles gambiae str. pest
Anthocidaris crassispina
Aotus trivirgatus
Aphanizomenon flos-aquae
Aphanothece sacrum
Apis cerana (indian honeybee)
Apis mellifera
Aplysia californica
Aplysia kurodai
Aplysia limacina
Aptenodytes forsteri
Aptenodytes patagonicus
Aquaspirillum arcticum
Aquifex aeolicus
Arabidopsis thaliana
Arabis mosaic virus (isolate syrah)
Arachis hypogaea
Archaeoglobus fulgidus
Archaeoglobus profundus dsm 5631
Arctogadus glacialis
Armoracia rusticana
Artemia salina
Artemisia vulgaris
Arthrobacter globiformis
Arthrobacter sp.
Arthrobacter viscosus
Arthrospira maxima cs-328
Arthrospira platensis nies-39
Ascaris suum
Ashbya gossypii
Aspergillus aculeatus
Aspergillus clavatus
Aspergillus ficuum
Aspergillus fumigatus
Aspergillus giganteus
Aspergillus kawachi
Aspergillus niger
Aspergillus oryzae
Aspergillus restrictus
Aspergillus terreus
Aspergillus tubingensis
Asterias rubens
Asterina pectinifera
Ateles geoffroyi
Ateles paniscus
Ateles sp.
Atractaspis engaddensis
Autographa californica nucleopolyhedrovirus
Avena sativa
Avian infectious bronchitis virus
Avian infectious bursal disease virus
Aythya fuligula
Azospirillum brasilense
Azotobacter chroococcum mcd
Azotobacter vinelandii
Bacilliform virus
Bacillus amyloliquefaciens
Bacillus aneurinolyticus
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus circulans
Bacillus coagulans
Bacillus halodurans
Bacillus licheniformis
Bacillus megaterium
Bacillus methanolicus
Bacillus phage
Bacillus phage phi29
Bacillus ps3
Bacillus pseudofirmus
Bacillus sp.
Bacillus sphaericus
Bacillus stearothermophilus
Bacillus subtilis
Bacillus subtilis subsp. subtilis str. 168
Bacillus thermoproteolyticus
Bacteriophage lambda
Bacteriophage p22
Bacteroides forsythus
Bacteroides fragilis
Bacteroides nodosus
Balaenoptera acutorostrata
Balaenoptera physalus
Bartonella bacilliformis
Bauhinia purpurea
Beet ringspot virus
Beet yellows virus
Beggiatoa sp. ps
Betula pendula
Betula verrucosa
Bifidobacterium longum
Black beetle virus
Blackcurrant reversion virus
Blattella germanica
Blepharisma japonicum
Blotched snakehead virus
Blueberry leaf mottle virus
Blueberry scorch carlavirus
Bombina bombina
Bombyx mori
Bombyx mori nuclear polyhedrosis
Bordetella avium
Bordetella bronchiseptica
Bordetella pertussis
Boreogadus saida
Borrelia burgdorferi
Bos taurus
Bothrops alternatus
Bothrops jararaca
Bovine coronavirus
Bovine diarrhea virus
Bovine herpesvirus 1.1
Bovine immunodeficiency virus
Bovine leukemia virus
Bovine viral diarrhea virus
Brachydanio rerio
Bradypus tridactylus
Bradyrhizobium japonicum
Branchiostoma lanceolatum
Brassica napus
Brassica oleracea
Brassica oleracea var. botrytis
Brassica oleracea var. capitata
Brassica rapa subsp. rapa
Brevibacillus brevis
Brevibacillus choshinensis
Brevibacterium sterolicum
Brevundimonas diminuta
Brucella abortus
Bryonia dioica
Bubalus bubalis
Bufo arenarum
Bufo japonicus
Burkholderia cepacia
Burkholderia glumae
Burkholderia pickettii
Burkholderia pseudomallei
Burkholderia xenovorans
Butyrivibrio fibrisolvens
Caenorhabditis elegans
Calliphora vicina
Callithrix jacchus
Camberwell virus
Camelus dromedarius
Campylobacter jejuni
Canavalia ensiformis
Canavalia gladiata
Candida albicans
Candida albicans sc5314
Candida boidinii
Candida glabrata
Candida maltosa
Candida parapsilosis
Candida rugosa
Candida tropicalis
Candida tsukubaensis
Candidatus methanoregula boonei 6a8
Canis familiaris
Canis lupus familiaris
Capra hircus
Caprine arthritis encephalitis virus
Capsicum annuum
Carboxydothermus hydrogenoformans
Caretta caretta
Carnobacterium piscicola
Castor fiber
Casuarina glauca
Catharanthus roseus
Cattle
Caudina arenicola
Cauliflower mosaic virus
Caulobacter crescentus
Cavally virus
Cavia cutleri
Cavia porcellus
Cebus apella
Cellulomonas fimi
Cellulomonas flavigena dsm 20109
Cellulomonas uda
Cellulosimicrobium cellulans
Centruroides suffusus suffusus
Ceratitis capitata
Cerebratulus lacteus
Cerorhinca monocerata
Cervus elaphus
Chaetophractus villosus
Chalinolobus morio
Chelonia mydas
Chelydra serpentina
Cherry leaf roll virus
Chironomus tentans
Chlamydia phage
Chlamydia psittaci
Chlamydia trachomatis
Chlamydomonas moewusii
Chlamydomonas reinhardtii
Chlorobium limicola f.sp.
Chloroflexus aurantiacus
Chlorogloeopsis fritschii
Chlorohydra viridissima
Choristoneura biennis entomopoxvirus
Chromatium vinosum
Chrysemys picta
Citrobacter diversus
Citrobacter freundii
Citrullus lanatus
Cladrastis lutea
Classical swine fever virus
Classical swine fever virus - alfort/187
Claviceps fusiformis
Clitoria ternatea
Clostridium bifermentans
Clostridium botulinum
Clostridium botulinum c phage
Clostridium botulinum d phage
Clostridium butyricum
Clostridium cellulolyticum
Clostridium cellulovorans
Clostridium difficile
Clostridium difficile 630
Clostridium pasteurianum
Clostridium perfringens
Clostridium ramosum
Clostridium septicum
Clostridium sordellii
Clostridium stercorarium
Clostridium sticklandii
Clostridium symbiosum
Clostridium tetani
Clostridium thermocellum
Clover yellow vein virus
Clupea harengus
Clypeaster japonicus
Coccidioides posadasii
Cocksfoot mottle virus
Coffea arabica
Colocasia esculenta
Columba livia
Colwellia maris
Comamonas sp.
Comamonas testosteroni
Conger conger
Conger myriaster
Corynebacterium diphtheriae
Corynebacterium glutamicum
Corynebacterium jeikeium
Corynebacterium nephridii
Corynebacterium pseudotuberculosis
Corynebacterium sp.
Corynephage beta
Corynephage omega
Cowpea mosaic virus
Coxiella burnetii
Coxiella burnetii cbug_q212
Coxiella burnetii cbuk_q154
Coxiella burnetii dugway 5j108-111
Coxiella burnetii rsa 331
Coxiella burnetii rsa 334
Coxsackievirus b3
Coxsackievirus b3 (strain woodruff)
Coxsackievirus b4
Coxsackievirus b6 (strain schmitt)
Crassostrea virginica
Cricetulus griseus
Cricetulus longicaudatus
Crimean congo hemorrhagic fever virus
Crithidia fasciculata
Crithidia oncopelti
Crocodylus niloticus
Crocosphaera watsonii wh 8501
Crotalus adamanteus
Crotalus atrox
Crotalus viridis
Cryphonectria hypovirus 1
Cryphonectria parasitica
Cryptococcus albidus
Cryptococcus neoformans
Cryptomeria japonica
Cryptosporidium parvum
